2025-05-13 16:42:37,738 - INFO - Main device: cuda:3
2025-05-13 16:42:37,739 - INFO - Loaded ViT-L-14 model config.
2025-05-13 17:15:53,010 - INFO - Epoch 26/20000 [47.58s], Training: [2.9695 (Focal: 1.9703, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9460 (Focal: 1.9471, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0802, mIoU = 0.0207], LR: 0.000010
2025-05-13 17:17:05,523 - INFO - Epoch 27/20000 [47.46s], Training: [2.9351 (Focal: 1.9359, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9573 (Focal: 1.9584, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0816, mIoU = 0.0159], LR: 0.000010
2025-05-13 17:18:18,646 - INFO - Epoch 28/20000 [47.98s], Training: [2.9873 (Focal: 1.9880, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9494 (Focal: 1.9505, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 17:19:31,622 - INFO - Epoch 29/20000 [47.62s], Training: [2.9522 (Focal: 1.9529, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9380 (Focal: 1.9391, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 17:20:45,089 - INFO - Epoch 30/20000 [48.33s], Training: [2.9692 (Focal: 1.9699, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9280 (Focal: 1.9291, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0819, mIoU = 0.0170], LR: 0.000010
2025-05-13 17:21:50,856 - INFO - Epoch 31/20000 [47.73s], Training: [2.9588 (Focal: 1.9596, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9141 (Focal: 1.9152, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0545, mIoU = 0.0341], LR: 0.000010
2025-05-13 17:23:00,284 - INFO - Epoch 32/20000 [47.60s], Training: [2.9570 (Focal: 1.9577, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.8977 (Focal: 1.8988, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2249, mIoU = 0.0557], LR: 0.000009
2025-05-13 17:23:12,909 - INFO - 保存最佳模型 (mIoU: 0.0557)
2025-05-13 17:24:23,235 - INFO - Epoch 33/20000 [47.90s], Training: [2.9474 (Focal: 1.9482, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.8933 (Focal: 1.8944, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2254, mIoU = 0.0543], LR: 0.000009
2025-05-13 17:25:33,134 - INFO - Epoch 34/20000 [47.61s], Training: [2.9666 (Focal: 1.9673, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9068 (Focal: 1.9079, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2281, mIoU = 0.0515], LR: 0.000009
2025-05-13 17:26:44,111 - INFO - Epoch 35/20000 [48.39s], Training: [2.9560 (Focal: 1.9568, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9042 (Focal: 1.9053, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2259, mIoU = 0.0525], LR: 0.000009
2025-05-13 17:27:53,527 - INFO - Epoch 36/20000 [47.21s], Training: [2.9530 (Focal: 1.9537, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9002 (Focal: 1.9013, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2252, mIoU = 0.0532], LR: 0.000009
2025-05-13 17:29:02,602 - INFO - Epoch 37/20000 [47.23s], Training: [2.9495 (Focal: 1.9502, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.8958 (Focal: 1.8968, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2182, mIoU = 0.0547], LR: 0.000009
2025-05-13 17:30:09,811 - INFO - Epoch 38/20000 [47.84s], Training: [2.9614 (Focal: 1.9622, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9019 (Focal: 1.9029, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.1053, mIoU = 0.0432], LR: 0.000009
2025-05-13 17:31:22,196 - INFO - Epoch 39/20000 [47.50s], Training: [2.9593 (Focal: 1.9600, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9192 (Focal: 1.9203, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:32:35,599 - INFO - Epoch 40/20000 [48.22s], Training: [2.9506 (Focal: 1.9514, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9335 (Focal: 1.9346, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:33:48,030 - INFO - Epoch 41/20000 [47.55s], Training: [2.9620 (Focal: 1.9627, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9282 (Focal: 1.9292, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:35:00,180 - INFO - Epoch 42/20000 [47.32s], Training: [2.9449 (Focal: 1.9456, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9378 (Focal: 1.9389, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:36:13,429 - INFO - Epoch 43/20000 [48.11s], Training: [2.9538 (Focal: 1.9545, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9437 (Focal: 1.9448, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:37:26,398 - INFO - Epoch 44/20000 [47.73s], Training: [2.9577 (Focal: 1.9584, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9413 (Focal: 1.9424, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:38:40,151 - INFO - Epoch 45/20000 [48.36s], Training: [2.9677 (Focal: 1.9685, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9277 (Focal: 1.9288, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0816, mIoU = 0.0172], LR: 0.000009
2025-05-13 17:39:52,666 - INFO - Epoch 46/20000 [47.59s], Training: [2.9575 (Focal: 1.9583, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9208 (Focal: 1.9219, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0798, mIoU = 0.0220], LR: 0.000009
2025-05-13 17:41:05,173 - INFO - Epoch 47/20000 [47.45s], Training: [2.9539 (Focal: 1.9547, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9241 (Focal: 1.9251, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0811, mIoU = 0.0151], LR: 0.000009
2025-05-13 17:42:18,036 - INFO - Epoch 48/20000 [47.74s], Training: [2.9510 (Focal: 1.9517, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9327 (Focal: 1.9338, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:43:30,777 - INFO - Epoch 49/20000 [47.76s], Training: [2.9582 (Focal: 1.9589, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9317 (Focal: 1.9328, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:44:44,073 - INFO - Epoch 50/20000 [48.25s], Training: [2.9623 (Focal: 1.9630, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9206 (Focal: 1.9217, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0142], LR: 0.000009
2025-05-13 17:45:56,529 - INFO - Epoch 51/20000 [47.43s], Training: [2.9553 (Focal: 1.9560, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9248 (Focal: 1.9259, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:47:08,877 - INFO - Epoch 52/20000 [47.24s], Training: [2.9582 (Focal: 1.9589, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9261 (Focal: 1.9272, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
2025-05-13 17:48:22,240 - INFO - Epoch 53/20000 [48.25s], Training: [2.9581 (Focal: 1.9588, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9195 (Focal: 1.9206, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0816, mIoU = 0.0178], LR: 0.000009
2025-05-13 17:49:33,742 - INFO - Epoch 54/20000 [47.54s], Training: [2.9580 (Focal: 1.9588, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9150 (Focal: 1.9161, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0930, mIoU = 0.0255], LR: 0.000009
2025-05-13 17:50:46,972 - INFO - Epoch 55/20000 [48.17s], Training: [2.9536 (Focal: 1.9544, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9232 (Focal: 1.9243, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000008
2025-05-13 17:51:58,559 - INFO - Epoch 56/20000 [47.37s], Training: [2.9618 (Focal: 1.9625, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9149 (Focal: 1.9160, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0956, mIoU = 0.0214], LR: 0.000008
2025-05-13 17:53:07,618 - INFO - Epoch 57/20000 [47.57s], Training: [2.9546 (Focal: 1.9554, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9070 (Focal: 1.9081, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2107, mIoU = 0.0540], LR: 0.000008
2025-05-13 17:54:16,934 - INFO - Epoch 58/20000 [47.71s], Training: [2.9556 (Focal: 1.9563, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9033 (Focal: 1.9044, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2110, mIoU = 0.0548], LR: 0.000008
2025-05-13 17:55:25,677 - INFO - Epoch 59/20000 [47.66s], Training: [2.9602 (Focal: 1.9609, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9125 (Focal: 1.9135, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.1892, mIoU = 0.0513], LR: 0.000008
2025-05-13 17:56:38,077 - INFO - Epoch 60/20000 [47.80s], Training: [2.9555 (Focal: 1.9562, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9161 (Focal: 1.9171, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0796, mIoU = 0.0149], LR: 0.000008
2025-05-13 17:57:44,379 - INFO - Epoch 61/20000 [47.42s], Training: [2.9569 (Focal: 1.9577, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9136 (Focal: 1.9147, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0758, mIoU = 0.0353], LR: 0.000008
2025-05-13 17:58:56,044 - INFO - Epoch 62/20000 [47.10s], Training: [2.9558 (Focal: 1.9565, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9160 (Focal: 1.9171, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0832, mIoU = 0.0153], LR: 0.000008
2025-05-13 18:00:09,174 - INFO - Epoch 63/20000 [47.68s], Training: [2.9563 (Focal: 1.9571, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9185 (Focal: 1.9196, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0142], LR: 0.000008
2025-05-13 18:01:20,800 - INFO - Epoch 64/20000 [47.57s], Training: [2.9572 (Focal: 1.9580, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9156 (Focal: 1.9167, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0863, mIoU = 0.0165], LR: 0.000008
2025-05-13 18:02:29,473 - INFO - Epoch 65/20000 [47.83s], Training: [2.9582 (Focal: 1.9589, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9124 (Focal: 1.9135, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.1736, mIoU = 0.0522], LR: 0.000008
2025-05-13 18:03:38,757 - INFO - Epoch 66/20000 [47.23s], Training: [2.9558 (Focal: 1.9566, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9127 (Focal: 1.9138, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2254, mIoU = 0.0534], LR: 0.000008
2025-05-13 18:04:51,024 - INFO - Epoch 67/20000 [47.22s], Training: [2.9555 (Focal: 1.9563, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9181 (Focal: 1.9192, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000008
2025-05-13 18:06:04,321 - INFO - Epoch 68/20000 [48.14s], Training: [2.9577 (Focal: 1.9585, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9201 (Focal: 1.9212, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000008
2025-05-13 18:07:16,885 - INFO - Epoch 69/20000 [47.58s], Training: [2.9524 (Focal: 1.9531, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9251 (Focal: 1.9262, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000008
2025-05-13 18:08:30,033 - INFO - Epoch 70/20000 [47.99s], Training: [2.9612 (Focal: 1.9620, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9209 (Focal: 1.9220, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000008
2025-05-13 18:09:42,510 - INFO - Epoch 71/20000 [47.63s], Training: [2.9566 (Focal: 1.9574, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9177 (Focal: 1.9188, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0166], LR: 0.000008
