filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_20480_21504.png,"[8, 1, 16]",[-0.67565784 -0.91451261 -1.19984052]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_17408_18432.png,"[8, 1, 12]",[-0.6555033  -0.94323752 -1.17186301]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_21504_22528.png,"[8, 1, 16]",[-0.70259895 -0.9723968  -1.18354725]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_24576_25600.png,"[8, 1, 16]",[-0.71437694 -0.89601746 -1.19544233]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_21504_22528.png,"[8, 1, 12]",[-0.71555335 -0.97891966 -1.20452959]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_11264_12288.png,"[8, 1, 16]",[-0.71105062 -0.98935967 -1.16797773]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_16384_17408.png,"[8, 1, 12]",[-0.71835004 -0.94210864 -1.19454495]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_22528_23552.png,"[8, 1, 16]",[-0.69112146 -0.93376831 -1.19291514]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_12288_13312.png,"[8, 1, 12]",[-0.68050995 -0.95495724 -1.17182181]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_20480_21504.png,"[8, 1, 12]",[-0.72070756 -0.97852436 -1.17993502]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_27648_28672.png,"[8, 1, 16]",[-0.63864103 -0.90151162 -1.18682639]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_23552_24576.png,"[8, 1, 16]",[-0.69800585 -0.93919678 -1.18750315]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_23552_24576.png,"[8, 1, 16]",[-0.67241673 -0.96926132 -1.20648945]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_29696_30720.png,"[8, 1, 16]",[-0.6451844  -0.95688069 -1.18787943]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_8192_9216.png,"[8, 1, 16]",[-0.64540764 -0.97601661 -1.14406574]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_20480_21504.png,"[8, 1, 12]",[-0.67203197 -0.96772395 -1.19611536]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_18432_19456.png,"[8, 1, 12]",[-0.64994779 -0.96011493 -1.1946754 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_14336_15360.png,"[8, 1, 12]",[-0.65306654 -0.95463276 -1.16946404]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_23552_24576.png,"[8, 1, 16]",[-0.71545039 -0.91967253 -1.17849415]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_29696_30720.png,"[8, 1, 16]",[-0.68896254 -0.9431513  -1.20526435]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_15360_16384.png,"[8, 1, 16]",[-0.72770736 -0.9625242  -1.19953496]
