filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_7168_8192.png,"[8, 1, 16]",[-0.67978238 -0.97832313 -1.16282315]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_19456_20480.png,"[8, 1, 16]",[-0.70493477 -0.97735771 -1.17717065]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_31744_32768.png,"[8, 1, 16]",[-0.65754175 -0.97146904 -1.217582  ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_24576_25600.png,"[8, 1, 16]",[-0.71472475 -0.92189346 -1.184388  ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_12288_13312.png,"[8, 1, 12]",[-0.68108042 -0.97378957 -1.17244011]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_27648_28672.png,"[8, 1, 16]",[-0.69228999 -0.92353651 -1.17599975]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_30720_31744.png,"[8, 1, 12]",[-0.68530305 -0.95906814 -1.20162967]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_12288_13312.png,"[8, 1, 16]",[-0.67841052 -0.96152828 -1.18871121]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_4096_5120.png,"[8, 1, 16]",[-0.68181681 -0.97815939 -1.14975506]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_6144_7168.png,"[8, 1, 16]",[-0.71551316 -0.97963147 -1.14124692]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_16384_17408.png,"[8, 1, 16]",[-0.63930983 -0.9613088  -1.18608193]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_18432_19456.png,"[8, 1, 16]",[-0.69345483 -0.97333116 -1.16115906]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_24576_25600.png,"[8, 1, 16]",[-0.65761985 -0.91853514 -1.18074262]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_28672_29696.png,"[8, 1, 16]",[-0.71274342 -0.95183495 -1.199635  ]
