filename,top_3_labels
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_26624_27648.png,"[('Industrial', 0.35), ('Commercial', 0.2), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_26624_27648.png,"[('Industrial', 0.3), ('Park', 0.25), ('Commercial', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_14336_15360.png,"[('Bridge', 0.3), ('Park', 0.25), ('River', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_4096_5120.png,"[('Forest', 0.4), ('Mountain', 0.4), ('River', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_7168_8192.png,"[('Pond', 0.4), ('Mountain', 0.15), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_19456_20480.png,"[('Viaduct', 0.85), ('Airport', 0.1), ('Commercial', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_31744_32768.png,"[('Beach', 0.45), ('Desert', 0.4), ('Meadow', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_24576_25600.png,"[('Industrial', 0.55), ('Commercial', 0.4), ('Farmland', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_12288_13312.png,"[('Commercial', 0.3), ('Industrial', 0.3), ('railwayStation', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_27648_28672.png,"[('River', 0.35), ('Industrial', 0.25), ('Park', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_30720_31744.png,"[('Commercial', 0.35), ('Industrial', 0.3), ('River', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_12288_13312.png,"[('Park', 0.45), ('Commercial', 0.25), ('River', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_4096_5120.png,"[('Forest', 0.5), ('Beach', 0.45), ('Meadow', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_6144_7168.png,"[('Forest', 0.55), ('Mountain', 0.4), ('River', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_16384_17408.png,"[('Beach', 0.6), ('Forest', 0.3), ('Bridge', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_18432_19456.png,"[('Commercial', 0.4), ('Industrial', 0.25), ('Forest', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_24576_25600.png,"[('Desert', 0.4), ('Beach', 0.25), ('Farmland', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_28672_29696.png,"[('Industrial', 0.7), ('Commercial', 0.15), ('railwayStation', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_12288_13312.png,"[('Commercial', 0.4), ('Industrial', 0.2), ('Forest', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_13312_14336.png,"[('Park', 0.65), ('Commercial', 0.15), ('Pond', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_16384_17408.png,"[('Park', 0.45), ('Commercial', 0.35), ('Industrial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_12288_13312_33792_34816.png,"[('Industrial', 0.8), ('Commercial', 0.15), ('railwayStation', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_2048_3072.png,"[('Forest', 0.65), ('Beach', 0.25), ('Meadow', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_18432_19456.png,"[('Park', 0.6), ('Commercial', 0.3), ('Airport', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_21504_22528.png,"[('Commercial', 0.2), ('Park', 0.2), ('Mountain', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_18432_19456.png,"[('Beach', 0.8), ('Forest', 0.15), ('Bridge', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_26624_27648.png,"[('Commercial', 0.35), ('Industrial', 0.25), ('railwayStation', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_10240_11264.png,"[('Forest', 0.75), ('Meadow', 0.25), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_23552_24576.png,"[('Commercial', 0.3), ('Industrial', 0.3), ('railwayStation', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_22528_23552.png,"[('Beach', 0.4), ('Forest', 0.25), ('Desert', 0.2)]"
